"Species","Frequency","Name"
"Meliphaga lewinii","79.13%","Lewin's Honeyeater"
"Rhipidura albiscapa","78.51%","Grey Fantail"
"Eopsaltria australis","70.75%","Eastern Yellow Robin"
"Philemon corniculatus","60.54%","Noisy Friarbird"
"Neochmia temporalis","59.33%","Red-browed Finch"
"Cormobates leucophaea","55.76%","White-throated Treecreeper"
"Phylidonyris niger","52.77%","White-cheeked Honeyeater"
"Anthochaera chrysoptera","49.16%","Little Wattlebird"
"Acanthiza nana","48.54%","Yellow Thornbill"
"Rhipidura leucophrys","47.95%","Willie Wagtail"
"Acanthiza pusilla","47.95%","Brown Thornbill"
"Gymnorhina tibicen","46.79%","Australian Magpie"
"Myzomela sanguinolenta","46.76%","Scarlet Honeyeater"
"Dacelo novaeguineae","46.19%","Laughing Kookaburra"
"Caligavis chrysops","46.14%","Yellow-faced Honeyeater"
"Macropygia phasianella","44.98%","Brown Cuckoo-Dove"
"Sphecotheres vieilloti","43.77%","Australasian Figbird"
"Malurus cyaneus","43.75%","Superb Fairywren"
"Gerygone mouki","43.74%","Brown Gerygone"
"Oriolus sagittatus","43.16%","Olive-backed Oriole"
"Trichoglossus chlorolepidotus","41.37%","Scaly-breasted Lorikeet"
"Hirundo neoxena","40.76%","Welcome Swallow"
"Psophodes olivaceus","40.74%","Eastern Whipbird"
"Haliastur sphenurus","39.57%","Whistling Kite"
"Pachycephala rufiventris","39.55%","Rufous Whistler"
"Acanthorhynchus tenuirostris","38.96%","Eastern Spinebill"
"Rhipidura rufifrons","38.37%","Australian Rufous Fantail"
"Zosterops lateralis","38.35%","Silvereye"
"Malurus lamberti","36.56%","Variegated Fairywren"
"Todiramphus sanctus","35.37%","Sacred Kingfisher"
"Myiagra rubecula","35.35%","Leaden Flycatcher"
"Corvus tasmanicus","34.78%","Forest Raven"
"Monarcha melanopsis","34.18%","Black-faced Monarch"
"Artamus leucorynchus","34.17%","White-breasted Woodswallow"
"Trichoglossus moluccanus","32.99%","Rainbow Lorikeet"
"Pachycephala pectoralis","32.96%","Golden Whistler"
"Vanellus miles","32.40%","Masked Lapwing"
"Icthyophaga leucogaster","31.21%","White-bellied Sea-Eagle"
"Pelecanus conspicillatus","31.19%","Australian Pelican"
"Sericornis frontalis","29.38%","White-browed Scrubwren"
"Egretta novaehollandiae","25.80%","White-faced Heron"
"Coracina novaehollandiae","25.78%","Black-faced Cuckooshrike"
"Psitteuteles pusillus","25.78%","Little Lorikeet"
"Geopelia humeralis","23.99%","Bar-shouldered Dove"
"Artamus cyanopterus","23.98%","Dusky Woodswallow"
"Colluricincla harmonica","22.17%","Grey Shrikethrush"
"Dicaeum hirundinaceum","21.58%","Mistletoebird"
"Daphoenositta chrysoptera","20.98%","Varied Sittella"
"Acanthiza lineata","20.38%","Striated Thornbill"
"Cracticus nigrogularis","19.81%","Pied Butcherbird"
"Synoicus ypsilophorus","18.59%","Brown Quail"
"Eurystomus orientalis","18.01%","Dollarbird"
"Melithreptus lunatus","17.38%","White-naped Honeyeater"
"Falcunculus frontatus","16.20%","Eastern Shrike-tit"
"Stipiturus malachurus","16.18%","Southern Emuwren"
"Neosericornis citreogularis","15.62%","Yellow-throated Scrubwren"
"Leucosarcia melanoleuca","15.60%","Wonga Pigeon"
"Platycercus eximius","15.59%","Eastern Rosella"
"Eudynamys orientalis","15.01%","Pacific Koel"
"Strepera graculina","14.38%","Pied Currawong"
"Anas superciliosa","13.81%","Pacific Black Duck"
"Pardalotus punctatus","13.81%","Spotted Pardalote"
"Ptilonorhynchus violaceus","13.78%","Satin Bowerbird"
"Edolisoma tenuirostre","13.78%","Sahul Cicadabird"
"Merops ornatus","13.22%","Rainbow Bee-eater"
"Neophema pulchella","13.20%","Turquoise Parrot"
"Sericornis magnirostra","12.59%","Large-billed Scrubwren"
"Cygnus atratus","11.41%","Black Swan"
"Ceyx azureus","10.78%","Azure Kingfisher"
"Hirundapus caudacutus","10.23%","White-throated Needletail"
"Centropus phasianinus","10.20%","Pheasant Coucal"
"Gerygone olivacea","10.19%","White-throated Gerygone"
"Zanda funerea","9.62%","Yellow-tailed Black-Cockatoo"
"Phalacrocorax carbo","9.61%","Great Cormorant"
"Chalcophaps longirostris","9.59%","Pacific Emerald Dove"
"Microcarbo melanoleucos","9.59%","Little Pied Cormorant"
"Manorina melanocephala","9.59%","Noisy Miner"
"Calyptorhynchus lathami","8.41%","Glossy Black-Cockatoo"
"Thalasseus bergii","7.80%","Crested Tern"
"Anthochaera carunculata","7.80%","Red Wattlebird"
"Cracticus torquatus","7.20%","Grey Butcherbird"
"Aegotheles cristatus","6.66%","Australian Owlet-nightjar"
"Corvus orru","5.41%","Torresian Crow"
"Scythrops novaehollandiae","5.40%","Channel-billed Cuckoo"
"Alisterus scapularis","4.82%","Australian King-Parrot"
"Cacomantis variolosus","4.81%","Sahul Brush Cuckoo"
"Chroicocephalus novaehollandiae","4.81%","Silver Gull"
"Lichmera indistincta","4.80%","Brown Honeyeater"
"Phalacrocorax sulcirostris","4.80%","Little Black Cormorant"
"Coracina papuensis","4.80%","White-bellied Cuckooshrike"
"Pandion haliaetus","4.22%","Osprey"
"Phalacrocorax varius","4.22%","Pied Cormorant"
"Cacomantis flabelliformis","4.21%","Fan-tailed Cuckoo"
"Corvus coronoides","4.20%","Australian Raven"
"Platycercus elegans","4.20%","Crimson Rosella"
"Sericulus chrysocephalus","4.20%","Regent Bowerbird"
"Lewinia pectoralis","4.19%","Lewin's Rail"
"Hydroprogne caspia","3.61%","Caspian Tern"
"Chenonetta jubata","3.60%","Australian Wood Duck"
"Columba leucomela","3.60%","White-headed Pigeon"
"Ardea alba","3.60%","Great Egret"
"Melithreptus brevirostris","3.60%","Brown-headed Honeyeater"
"Phaps elegans","3.01%","Brush Bronzewing"
"Grallina cyanoleuca","3.00%","Magpie-lark"
"Cincloramphus timoriensis","3.00%","Tawny Grassbird"
"Petrochelidon nigricans","2.99%","Tree Martin"
"Tyto novaehollandiae","2.43%","Australian Masked-Owl"
"Anas castanea","2.42%","Chestnut Teal"
"Dicrurus bracteatus","2.41%","Spangled Drongo"
"Anhinga novaehollandiae","2.41%","Australasian Darter"
"Aquila audax","2.41%","Wedge-tailed Eagle"
"Phylidonyris novaehollandiae","2.41%","New Holland Honeyeater"
"Trichoglossus concinnus","2.40%","Musk Lorikeet"
"Anarhynchus ruficapillus","1.80%","Red-capped Plover"
"Tachyspiza novaehollandiae","1.80%","Grey Goshawk"
"Tachyspiza fasciata","1.80%","Brown Goshawk"
"Falco peregrinus","1.80%","Peregrine Falcon"
"Ailuroedus crassirostris","1.80%","Green Catbird"
"Elanus axillaris","1.22%","Black-shouldered Kite"
"Lopholaimus antarcticus","1.20%","Topknot Pigeon"
"Chalcites lucidus","1.20%","Shining Bronze-Cuckoo"
"Circus approximans","1.20%","Swamp Harrier"
"Climacteris erythrops","1.20%","Red-browed Treecreeper"
"Entomyzon cyanotis","1.20%","Blue-faced Honeyeater"
"Geopelia placida","1.20%","Peaceful Dove"
"Fulica atra","1.20%","Eurasian Coot"
"Tachybaptus novaehollandiae","1.20%","Australasian Grebe"
"Nycticorax caledonicus","1.20%","Nankeen Night Heron"
"Eurostopodus mystacalis","0.63%","White-throated Nightjar"
"Podargus strigoides","0.62%","Tawny Frogmouth"
"Alectura lathami","0.61%","Australian Brushturkey"
"Spilopelia chinensis","0.60%","Spotted Dove"
"Anas gracilis","0.60%","Grey Teal"
"Ocyphaps lophotes","0.60%","Crested Pigeon"
"Ptilinopus regina","0.60%","Rose-crowned Fruit-Dove"
"Haematopus longirostris","0.60%","Australian Pied Oystercatcher"
"Calidris ruficollis","0.60%","Red-necked Stint"
"Tachyspiza cirrocephala","0.60%","Collared Sparrowhawk"
"Ninox boobook","0.60%","Australian Boobook"
"Porphyrio melanotus","0.60%","Australasian Swamphen"
"Gallinago hardwickii","0.60%","Latham's Snipe"
"Tringa brevipes","0.60%","Grey-tailed Tattler"
"Podiceps cristatus","0.60%","Great Crested Grebe"
"Egretta garzetta","0.60%","Little Egret"
"Butorides striata","0.60%","Striated Heron"
"Haliastur indus","0.60%","Brahminy Kite"
"Falco longipennis","0.60%","Australian Hobby"
"Menura novaehollandiae","0.60%","Superb Lyrebird"
"Acanthiza reguloides","0.60%","Buff-rumped Thornbill"
"Orthonyx temminckii","0.60%","Australian Logrunner"
"Symposiachrus trivirgatus","0.60%","Australian Spectacled Monarch"
"Synoicus chinensis","0.01%","King Quail"
"Gallirallus philippensis","0.01%","Buff-banded Rail"
"Haematopus fuliginosus","0.01%","Sooty Oystercatcher"
"Limosa lapponica","0.01%","Bar-tailed Godwit"
"Threskiornis molucca","0.01%","Australian White Ibis"
"Ardea pacifica","0.01%","White-necked Heron"
"Tyto javanica","0.01%","Eastern Barn Owl"
"Eolophus roseicapilla","0.01%","Galah"
"Cacatua sanguinea","0.01%","Little Corella"
